OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
287,3e26f6d1,01/09/2006 02:15:00 AM,Monday,Jan,9,2006,2,1,9,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,C,70,BROOKLYN,N.Y. POLICE DEPT,995485,166236,"(40.6229569820001, -73.9595297129999)"
288,1e99a827,01/09/2006 03:00:00 AM,Monday,Jan,9,2006,3,1,9,2006,BURGLARY,FELONY,B,122,STATEN ISLAND,N.Y. POLICE DEPT,942637,135330,"(40.5380356200001, -74.149713116)"
289,d105d1ee,01/09/2006 03:17:00 AM,Monday,Jan,9,2006,3,1,9,2006,ROBBERY,FELONY,H,109,QUEENS,N.Y. POLICE DEPT,1038178,213967,"(40.7538102890001, -73.805355399)"
290,89d4f731,01/09/2006 03:55:00 AM,Monday,Jan,9,2006,3,1,9,2006,ROBBERY,FELONY,G,20,MANHATTAN,N.Y. POLICE DEPT,992081,224190,"(40.7820307540001, -73.971724525)"
291,8e371bf1,01/09/2006 04:00:00 AM,Monday,Jan,9,2006,4,1,9,2006,BURGLARY,FELONY,C,79,BROOKLYN,N.Y. POLICE DEPT,998761,189820,"(40.687685141, -73.947677872)"
292,9613767,01/09/2006 04:10:00 AM,Monday,Jan,9,2006,4,1,9,2006,GRAND LARCENY,FELONY,B,83,BROOKLYN,N.Y. POLICE DEPT,1009856,190833,"(40.6904404490001, -73.90766784)"
293,6f922389,01/09/2006 04:13:00 AM,Monday,Jan,9,2006,4,1,9,2006,ROBBERY,FELONY,M,75,BROOKLYN,N.Y. POLICE DEPT,1022302,183208,"(40.6694668170001, -73.8628314709999)"
294,3c806a6,01/09/2006 04:15:00 AM,Monday,Jan,9,2006,4,1,9,2006,FELONY ASSAULT,FELONY,B,61,BROOKLYN,N.Y. POLICE DEPT,1001090,153255,"(40.587317908, -73.9393712469999)"
295,e440d7a5,01/09/2006 04:15:00 AM,Monday,Jan,9,2006,4,1,9,2006,ROBBERY,FELONY,H,88,BROOKLYN,N.Y. TRANSIT POLICE,991339,189319,"(40.6863190660001, -73.974440547)"
296,9905cd9c,01/09/2006 04:20:00 AM,Monday,Jan,9,2006,4,1,9,2006,RAPE,FELONY,E,17,MANHATTAN,N.Y. POLICE DEPT,992411,215025,"(40.7568749110001, -73.970544057)"
297,ec23bf3b,01/09/2006 04:30:00 AM,Monday,Jan,9,2006,4,1,9,2006,ROBBERY,FELONY,,115,QUEENS,N.Y. POLICE DEPT,1023382,212815,"(40.7507262030001, -73.8587662159999)"
298,122ad412,01/09/2006 04:30:00 AM,Monday,Jan,9,2006,4,1,9,2006,RAPE,FELONY,B,48,BRONX,N.Y. POLICE DEPT,1011779,246746,"(40.843901255, -73.900504632)"
299,1b3a134e,01/09/2006 05:00:00 AM,Monday,Jan,9,2006,5,1,10,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,120,STATEN ISLAND,N.Y. POLICE DEPT,964893,161998,"(40.6113105260001, -74.069718807)"
300,5e333f10,01/09/2006 05:00:00 AM,Monday,Jan,9,2006,5,1,9,2006,BURGLARY,FELONY,H,113,QUEENS,N.Y. POLICE DEPT,1043010,188427,"(40.6836785340001, -73.788137945)"
301,d9d83c8c,01/09/2006 05:00:00 AM,Monday,Jan,9,2006,5,1,9,2006,RAPE,FELONY,A,83,BROOKLYN,N.Y. POLICE DEPT,1006965,193571,"(40.697963515, -73.9180833619999)"
302,f8f2088d,01/09/2006 05:00:00 AM,Monday,Jan,9,2006,5,1,10,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,B,115,QUEENS,N.Y. POLICE DEPT,1021087,217247,"(40.762900759, -73.867025036)"
303,c001f308,01/09/2006 05:50:00 AM,Monday,Jan,9,2006,5,1,9,2006,FELONY ASSAULT,FELONY,I,73,BROOKLYN,N.Y. POLICE DEPT,1010140,183016,"(40.6689837390001, -73.906673784)"
304,f7202733,01/09/2006 05:50:00 AM,Monday,Jan,9,2006,5,1,9,2006,ROBBERY,FELONY,E,7,MANHATTAN,N.Y. HOUSING POLICE,990372,200008,"(40.715658596, -73.977917556)"
305,67b139ab,01/09/2006 06:00:00 AM,Monday,Jan,9,2006,6,1,9,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,H,61,BROOKLYN,N.Y. POLICE DEPT,998888,159100,"(40.6033651660001, -73.947286592)"
306,3a0b8aab,01/09/2006 06:00:00 AM,Monday,Jan,9,2006,6,1,9,2006,BURGLARY,FELONY,F,106,QUEENS,N.Y. POLICE DEPT,1029352,187727,"(40.681837327, -73.8373874219999)"
307,2ad4215b,01/09/2006 06:00:00 AM,Monday,Jan,9,2006,6,1,10,2006,BURGLARY,FELONY,J,88,BROOKLYN,N.Y. HOUSING POLICE,991633,192539,"(40.695156986, -73.9733769389999)"
308,50fbeb80,01/09/2006 06:00:00 AM,Monday,Jan,9,2006,6,1,9,2006,BURGLARY,FELONY,N,109,QUEENS,N.Y. POLICE DEPT,1032287,220270,"(40.7711443380001, -73.826573093)"
309,86c1fd5d,01/09/2006 06:00:00 AM,Monday,Jan,9,2006,6,1,10,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,46,BRONX,N.Y. POLICE DEPT,1009152,248205,"(40.847913578, -73.9099938539999)"
310,1584dc80,01/09/2006 07:00:00 AM,Monday,Jan,9,2006,7,1,9,2006,BURGLARY,FELONY,N,120,STATEN ISLAND,N.Y. POLICE DEPT,949980,164687,"(40.6186461400001, -74.123443982)"
311,71fa0668,01/09/2006 07:00:00 AM,Monday,Jan,9,2006,7,1,9,2006,BURGLARY,FELONY,G,76,BROOKLYN,N.Y. POLICE DEPT,986236,188194,"(40.6832338130001, -73.992840831)"
312,122a6406,01/09/2006 07:00:00 AM,Monday,Jan,9,2006,7,1,9,2006,GRAND LARCENY,FELONY,A,9,MANHATTAN,N.Y. HOUSING POLICE,991225,203318,"(40.724743118, -73.974837099)"
313,66b5753d,01/09/2006 07:15:00 AM,Monday,Jan,9,2006,7,1,9,2006,BURGLARY,FELONY,C,112,QUEENS,N.Y. POLICE DEPT,1023743,203553,"(40.7253027310001, -73.8575176689999)"
314,2c447f08,01/09/2006 07:15:00 AM,Monday,Jan,9,2006,7,1,9,2006,BURGLARY,FELONY,C,19,MANHATTAN,N.Y. POLICE DEPT,994656,222485,"(40.7773483230001, -73.9624291109999)"
315,92e04ba,01/09/2006 07:30:00 AM,Monday,Jan,9,2006,7,1,9,2006,BURGLARY,FELONY,I,70,BROOKLYN,N.Y. POLICE DEPT,995386,173939,"(40.64410021, -73.9598736299999)"
316,8558264a,01/09/2006 07:30:00 AM,Monday,Jan,9,2006,7,1,9,2006,BURGLARY,FELONY,A,77,BROOKLYN,N.Y. POLICE DEPT,991753,187169,"(40.6804174640001, -73.9729501749999)"
317,a627fc28,01/09/2006 07:30:00 AM,Monday,Jan,9,2006,7,1,9,2006,FELONY ASSAULT,FELONY,H,90,BROOKLYN,N.Y. POLICE DEPT,999730,197222,"(40.7080002650001, -73.9441668549999)"
318,238c2d6e,01/09/2006 07:40:00 AM,Monday,Jan,9,2006,7,1,9,2006,BURGLARY,FELONY,B,78,BROOKLYN,N.Y. POLICE DEPT,988610,186251,"(40.6778998670001, -73.984282521)"
319,d1cd4f4c,01/09/2006 07:45:00 AM,Monday,Jan,9,2006,7,1,9,2006,ROBBERY,FELONY,A,104,QUEENS,N.Y. POLICE DEPT,1013879,194127,"(40.6994691570001, -73.893146682)"
320,c8306b8,01/09/2006 07:45:00 AM,Monday,Jan,9,2006,7,1,9,2006,GRAND LARCENY,FELONY,D,94,BROOKLYN,N.Y. POLICE DEPT,999184,199673,"(40.7147286160001, -73.946130777)"
321,dd19eb99,01/09/2006 07:45:00 AM,Monday,Jan,9,2006,7,1,10,2006,GRAND LARCENY,FELONY,C,17,MANHATTAN,N.Y. POLICE DEPT,990882,212000,"(40.7485733300001, -73.976066015)"
322,af51b6db,01/09/2006 08:00:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,I,61,BROOKLYN,N.Y. POLICE DEPT,997561,158908,"(40.602840257, -73.952065805)"
323,58f2d041,01/09/2006 08:00:00 AM,Monday,Jan,9,2006,8,1,13,2006,GRAND LARCENY,FELONY,A,68,BROOKLYN,N.Y. POLICE DEPT,977673,162392,"(40.6124106790001, -74.023689958)"
324,bac5083b,01/09/2006 08:00:00 AM,Monday,Jan,9,2006,8,1,30,2006,GRAND LARCENY,FELONY,C,66,BROOKLYN,N.Y. POLICE DEPT,992573,165811,"(40.62179366, -73.970020104)"
325,f88aa690,01/09/2006 08:00:00 AM,Monday,Jan,9,2006,8,1,26,2006,GRAND LARCENY,FELONY,H,73,BROOKLYN,N.Y. POLICE DEPT,1010094,183246,"(40.669615171, -73.906838722)"
326,1de19c96,01/09/2006 08:00:00 AM,Monday,Jan,9,2006,8,1,12,2006,BURGLARY,FELONY,A,115,QUEENS,N.Y. POLICE DEPT,1019826,216478,"(40.7607952180001, -73.871581133)"
327,d45e2d6d,01/09/2006 08:00:00 AM,Monday,Jan,9,2006,8,1,10,2006,GRAND LARCENY,FELONY,B,23,MANHATTAN,N.Y. POLICE DEPT,997491,225945,"(40.786841313, -73.9521861229999)"
328,7e06ea63,01/09/2006 08:00:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,G,46,BRONX,N.Y. POLICE DEPT,1011028,251778,"(40.857714908, -73.903198838)"
329,753ee317,01/09/2006 08:15:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,E,76,BROOKLYN,N.Y. POLICE DEPT,985395,189181,"(40.685943052, -73.9958729269999)"
330,4a727efb,01/09/2006 08:20:00 AM,Monday,Jan,9,2006,8,1,9,2006,GRAND LARCENY,FELONY,F,67,BROOKLYN,N.Y. POLICE DEPT,1002468,170452,"(40.634517407, -73.9343635509999)"
331,ff2a1b41,01/09/2006 08:20:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,A,67,BROOKLYN,N.Y. POLICE DEPT,996876,177505,"(40.65388611, -73.9544978439999)"
332,c85f2e21,01/09/2006 08:30:00 AM,Monday,Jan,9,2006,8,1,19,2006,BURGLARY,FELONY,A,70,BROOKLYN,N.Y. POLICE DEPT,996692,163742,"(40.6161098580001, -73.9551863459999)"
333,6f1011d9,01/09/2006 08:30:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,E,63,BROOKLYN,N.Y. POLICE DEPT,1005643,167828,"(40.627307984, -73.922932622)"
334,20a17fec,01/09/2006 08:30:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,F,90,BROOKLYN,N.Y. POLICE DEPT,999661,194848,"(40.7014843150001, -73.944421162)"
335,7ee8a3e4,01/09/2006 08:30:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,E,104,QUEENS,N.Y. POLICE DEPT,1010564,194784,"(40.701282946, -73.905099405)"
336,46bca7f6,01/09/2006 08:30:00 AM,Monday,Jan,9,2006,8,1,9,2006,ROBBERY,FELONY,E,7,MANHATTAN,N.Y. HOUSING POLICE,990539,201260,"(40.719094919, -73.977313968)"
337,806718cb,01/09/2006 08:30:00 AM,Monday,Jan,9,2006,8,1,10,2006,GRAND LARCENY,FELONY,F,18,MANHATTAN,N.Y. POLICE DEPT,988149,216376,"(40.7605859670001, -73.9859271)"
338,cd156e7e,01/09/2006 08:30:00 AM,Monday,Jan,9,2006,8,1,10,2006,GRAND LARCENY,FELONY,B,19,MANHATTAN,N.Y. POLICE DEPT,995590,221015,"(40.773312409, -73.959059252)"
339,d8410df8,01/09/2006 08:35:00 AM,Monday,Jan,9,2006,8,1,10,2006,GRAND LARCENY,FELONY,F,1,MANHATTAN,N.Y. TRANSIT POLICE,981689,199960,"(40.715528594, -74.009239725)"
340,9d5d004e,01/09/2006 08:45:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,G,6,MANHATTAN,N.Y. POLICE DEPT,983944,208570,"(40.739161316, -74.0011056719999)"
341,763b5aa8,01/09/2006 08:45:00 AM,Monday,Jan,9,2006,8,1,9,2006,GRAND LARCENY,FELONY,H,14,MANHATTAN,N.Y. TRANSIT POLICE,987078,215157,"(40.757240531, -73.9897936369999)"
342,5698c92c,01/09/2006 08:50:00 AM,Monday,Jan,9,2006,8,1,9,2006,BURGLARY,FELONY,H,83,BROOKLYN,N.Y. POLICE DEPT,1007864,193605,"(40.6980544840001, -73.9148411429999)"
343,c1d81d85,01/09/2006 08:50:00 AM,Monday,Jan,9,2006,8,1,9,2006,ROBBERY,FELONY,E,104,QUEENS,N.Y. POLICE DEPT,1011341,195999,"(40.70461549, -73.9022922509999)"
344,43b4429a,01/09/2006 08:50:00 AM,Monday,Jan,9,2006,8,2,7,2006,GRAND LARCENY,FELONY,B,25,MANHATTAN,N.Y. TRANSIT POLICE,1001575,232339,"(40.8043840460001, -73.9374216689999)"
345,a69cbcb0,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,23,2007,GRAND LARCENY,FELONY,J,75,BROOKLYN,N.Y. HOUSING POLICE,1015829,179159,"(40.658378671, -73.8861842969999)"
346,89a56bb9,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,25,2006,GRAND LARCENY,FELONY,I,71,BROOKLYN,N.Y. POLICE DEPT,1002261,179451,"(40.659218138, -73.935085327)"
347,fb4a061a,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,9,2006,FELONY ASSAULT,FELONY,A,103,QUEENS,N.Y. POLICE DEPT,1037779,195129,"(40.7021071140001, -73.8069453809999)"
348,fb03cf68,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,17,2006,GRAND LARCENY,FELONY,E,104,QUEENS,N.Y. POLICE DEPT,1010547,195823,"(40.7041348070001, -73.905156658)"
349,640eadbb,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,23,2006,GRAND LARCENY,FELONY,G,1,MANHATTAN,N.Y. POLICE DEPT,983476,200982,"(40.7183340760001, -74.00279361)"
350,c46389c8,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,10,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,94,BROOKLYN,N.Y. POLICE DEPT,1000879,201448,"(40.719597542, -73.940012106)"
351,5fcfe64b,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,9,2006,GRAND LARCENY,FELONY,A,14,MANHATTAN,N.Y. POLICE DEPT,987958,210923,"(40.745618945, -73.986619565)"
352,b686f553,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,9,2006,FELONY ASSAULT,FELONY,F,115,QUEENS,N.Y. POLICE DEPT,1014020,211811,"(40.748006952, -73.892559956)"
353,32625e48,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,9,2006,GRAND LARCENY,FELONY,D,14,MANHATTAN,N.Y. POLICE DEPT,989224,213210,"(40.7518955640001, -73.982048979)"
354,a50dd36d,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,9,2006,GRAND LARCENY,FELONY,D,30,MANHATTAN,N.Y. POLICE DEPT,1000111,239937,"(40.8252411810001, -73.94269184)"
355,6c81731b,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,13,2006,GRAND LARCENY,FELONY,I,43,BRONX,N.Y. POLICE DEPT,1020518,242653,"(40.8326356010001, -73.868941832)"
356,c716a254,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,3,22,2006,GRAND LARCENY,FELONY,E,48,BRONX,N.Y. POLICE DEPT,1016530,245475,"(40.8403966440001, -73.883339443)"
357,bd7923e4,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,9,2006,BURGLARY,FELONY,M,52,BRONX,N.Y. POLICE DEPT,1017928,258050,"(40.8749060050001, -73.878223809)"
358,4fba0cf4,01/09/2006 09:00:00 AM,Monday,Jan,9,2006,9,1,9,2006,GRAND LARCENY,FELONY,K,18,MANHATTAN,N.Y. POLICE DEPT,988353,217918,"(40.764818269, -73.9851897729999)"
359,dad8b759,01/09/2006 09:05:00 AM,Monday,Jan,9,2006,9,1,9,2006,GRAND LARCENY,FELONY,,75,BROOKLYN,N.Y. HOUSING POLICE,1013211,182271,"(40.6669293680001, -73.895606726)"
360,83c3f318,01/09/2006 09:08:00 AM,Monday,Jan,9,2006,9,1,9,2006,BURGLARY,FELONY,C,94,BROOKLYN,N.Y. POLICE DEPT,997540,205387,"(40.730414787, -73.952049812)"
361,5bd2a439,01/09/2006 09:15:00 AM,Monday,Jan,9,2006,9,1,9,2006,ROBBERY,FELONY,C,79,BROOKLYN,N.Y. POLICE DEPT,999670,189139,"(40.685814415, -73.9444017709999)"
362,9e78465c,01/09/2006 09:20:00 AM,Monday,Jan,9,2006,9,1,9,2006,FELONY ASSAULT,FELONY,A,83,BROOKLYN,N.Y. POLICE DEPT,1010438,187480,"(40.6812355320001, -73.905582218)"
363,3e75b86a,01/09/2006 09:20:00 AM,Monday,Jan,9,2006,9,1,9,2006,BURGLARY,FELONY,I,107,QUEENS,N.Y. POLICE DEPT,1038248,200242,"(40.716138207, -73.8052129)"
364,595942b7,01/09/2006 09:30:00 AM,Monday,Jan,9,2006,9,1,10,2006,BURGLARY,FELONY,C,71,BROOKLYN,N.Y. POLICE DEPT,994695,178895,"(40.6577041960001, -73.962355926)"
365,325f73dd,01/09/2006 09:30:00 AM,Monday,Jan,9,2006,9,1,10,2006,BURGLARY,FELONY,G,94,BROOKLYN,N.Y. POLICE DEPT,996467,205252,"(40.7300457920001, -73.955921546)"
366,ecfe1d20,01/09/2006 09:30:00 AM,Monday,Jan,9,2006,9,1,9,2006,BURGLARY,FELONY,D,111,QUEENS,N.Y. POLICE DEPT,1045705,210479,"(40.7441875270001, -73.778219661)"
367,4d56fdec,01/09/2006 09:30:00 AM,Monday,Jan,9,2006,9,1,10,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,108,QUEENS,N.Y. POLICE DEPT,998130,213833,"(40.753596046, -73.949903607)"
368,4fa81ade,01/09/2006 09:30:00 AM,Monday,Jan,9,2006,9,1,9,2006,FELONY ASSAULT,FELONY,E,26,MANHATTAN,N.Y. POLICE DEPT,995342,237111,"(40.817491884, -73.959928054)"
369,f94c23b1,01/09/2006 09:30:00 AM,Monday,Jan,9,2006,9,1,9,2006,FELONY ASSAULT,FELONY,E,26,MANHATTAN,N.Y. POLICE DEPT,995342,237111,"(40.817491884, -73.959928054)"
370,de963ce1,01/09/2006 09:30:00 AM,Monday,Jan,9,2006,9,4,11,2008,GRAND LARCENY,FELONY,B,34,MANHATTAN,N.Y. POLICE DEPT,1000941,250072,"(40.8530572780001, -73.93966763)"
371,b11337aa,01/09/2006 09:30:00 AM,Monday,Jan,9,2006,9,1,9,2006,FELONY ASSAULT,FELONY,C,34,MANHATTAN,N.Y. POLICE DEPT,1004441,252707,"(40.860282254, -73.927008068)"
372,c1eca0aa,01/09/2006 10:00:00 AM,Monday,Jan,9,2006,10,2,7,2006,GRAND LARCENY,FELONY,C,105,QUEENS,N.Y. POLICE DEPT,1056161,178498,"(40.656328692, -73.7408272179999)"
373,6f241fa0,01/09/2006 10:00:00 AM,Monday,Jan,9,2006,10,1,9,2006,BURGLARY,FELONY,F,73,BROOKLYN,N.Y. POLICE DEPT,1007690,181770,"(40.665570572, -73.915509813)"
374,b6b6a968,01/09/2006 10:00:00 AM,Monday,Jan,9,2006,10,1,9,2006,ROBBERY,FELONY,B,113,QUEENS,N.Y. POLICE DEPT,1044231,185386,"(40.6753235130001, -73.783762622)"
375,cf8b2c6b,01/09/2006 10:00:00 AM,Monday,Jan,9,2006,10,1,9,2006,BURGLARY,FELONY,D,106,QUEENS,N.Y. POLICE DEPT,1026559,186079,"(40.677327737, -73.847467832)"
376,f8878c42,01/09/2006 10:00:00 AM,Monday,Jan,9,2006,10,1,9,2006,BURGLARY,FELONY,E,110,QUEENS,N.Y. POLICE DEPT,1020681,209438,"(40.7414687340001, -73.868532944)"
377,c986588e,01/09/2006 10:00:00 AM,Monday,Jan,9,2006,10,1,12,2006,GRAND LARCENY,FELONY,E,19,MANHATTAN,N.Y. POLICE DEPT,997923,225224,"(40.784861703, -73.950627572)"
378,148829c3,01/09/2006 10:00:00 AM,Monday,Jan,9,2006,10,1,9,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,C,42,BRONX,N.Y. POLICE DEPT,1015438,244653,"(40.8381444190001, -73.88728982)"
379,41dd7966,01/09/2006 10:00:00 AM,Monday,Jan,9,2006,10,1,9,2006,BURGLARY,FELONY,D,48,BRONX,N.Y. POLICE DEPT,1014362,245499,"(40.8404701760001, -73.891174619)"
380,681eb32d,01/09/2006 10:09:00 AM,Monday,Jan,9,2006,10,1,9,2006,FELONY ASSAULT,FELONY,M,79,BROOKLYN,N.Y. POLICE DEPT,995701,187889,"(40.682389474, -73.9587148589999)"
381,66b28d89,01/09/2006 10:09:00 AM,Monday,Jan,9,2006,10,1,9,2006,FELONY ASSAULT,FELONY,M,79,BROOKLYN,N.Y. POLICE DEPT,995701,187889,"(40.682389474, -73.9587148589999)"
382,2112f759,01/09/2006 10:09:00 AM,Monday,Jan,9,2006,10,1,9,2006,FELONY ASSAULT,FELONY,M,79,BROOKLYN,N.Y. POLICE DEPT,995701,187889,"(40.682389474, -73.9587148589999)"
383,3b26e06d,01/09/2006 10:25:00 AM,Monday,Jan,9,2006,10,1,9,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,B,1,MANHATTAN,N.Y. POLICE DEPT,982528,195867,"(40.704294481, -74.0062121569999)"
384,3a9b35b1,01/09/2006 10:30:00 AM,Monday,Jan,9,2006,10,3,3,2006,GRAND LARCENY,FELONY,B,60,BROOKLYN,N.Y. POLICE DEPT,994705,149645,"(40.5774190010001, -73.9623651749999)"
385,39c989f,01/09/2006 10:30:00 AM,Monday,Jan,9,2006,10,1,10,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,I,122,STATEN ISLAND,N.Y. POLICE DEPT,965911,157774,"(40.5997186750001, -74.066040847)"
386,fc2429ff,01/09/2006 10:30:00 AM,Monday,Jan,9,2006,10,1,9,2006,BURGLARY,FELONY,A,77,BROOKLYN,N.Y. POLICE DEPT,991753,187169,"(40.6804174640001, -73.9729501749999)"
387,58b75fe1,01/09/2006 10:30:00 AM,Monday,Jan,9,2006,10,1,9,2006,BURGLARY,FELONY,E,14,MANHATTAN,N.Y. POLICE DEPT,988518,214044,"(40.754185051, -73.984596588)"
388,4f6d05f,01/09/2006 10:45:00 AM,Monday,Jan,9,2006,10,1,10,2006,BURGLARY,FELONY,,122,STATEN ISLAND,N.Y. POLICE DEPT,953138,146926,"(40.5699074510001, -74.1119869039999)"
389,7b233118,01/09/2006 10:45:00 AM,Monday,Jan,9,2006,10,1,9,2006,FELONY ASSAULT,FELONY,T,44,BRONX,N.Y. POLICE DEPT,1008184,246959,"(40.8444963520001, -73.9134971089999)"
390,a3186fec,01/09/2006 10:50:00 AM,Monday,Jan,9,2006,10,1,9,2006,ROBBERY,FELONY,C,83,BROOKLYN,N.Y. POLICE DEPT,1006933,191268,"(40.6916423980001, -73.9182065209999)"
391,68b1e83e,01/09/2006 10:50:00 AM,Monday,Jan,9,2006,10,1,9,2006,BURGLARY,FELONY,B,30,MANHATTAN,N.Y. POLICE DEPT,996648,237924,"(40.8197216040001, -73.95520821)"
392,4497465b,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,9,2006,BURGLARY,FELONY,F,101,QUEENS,N.Y. POLICE DEPT,1045589,156583,"(40.5962563430001, -73.7791287059999)"
393,cbd7b3fb,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,9,2006,BURGLARY,FELONY,A,101,QUEENS,N.Y. POLICE DEPT,1056447,158339,"(40.6009943920001, -73.740012088)"
394,e168d035,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,15,2006,GRAND LARCENY,FELONY,I,70,BROOKLYN,N.Y. POLICE DEPT,993642,174403,"(40.6453758120001, -73.966157368)"
395,37ca9431,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,9,2006,BURGLARY,FELONY,I,67,BROOKLYN,N.Y. POLICE DEPT,1004441,179353,"(40.6589444470001, -73.927228363)"
396,487baa25,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,9,2006,BURGLARY,FELONY,C,79,BROOKLYN,N.Y. POLICE DEPT,1000436,189391,"(40.68650473, -73.9416392109999)"
397,7eb10676,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,10,2006,GRAND LARCENY,FELONY,D,83,BROOKLYN,N.Y. POLICE DEPT,1006156,192184,"(40.694158562, -73.921005403)"
398,43888a54,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,9,2006,BURGLARY,FELONY,M,104,QUEENS,N.Y. POLICE DEPT,1016372,199956,"(40.7154596760001, -73.8841280679999)"
399,ed707776,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,9,2006,BURGLARY,FELONY,I,19,MANHATTAN,N.Y. POLICE DEPT,996901,221393,"(40.7743481410001, -73.954325277)"
400,aa1f1,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,9,2007,GRAND LARCENY,FELONY,D,20,MANHATTAN,N.Y. POLICE DEPT,990192,222634,"(40.777761416, -73.978546884)"
401,51f8dad1,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,10,2006,BURGLARY,FELONY,P,32,MANHATTAN,N.Y. HOUSING POLICE,1002118,242744,"(40.832941761, -73.935432593)"
402,550cced0,01/09/2006 11:00:00 AM,Monday,Jan,9,2006,11,1,10,2006,BURGLARY,FELONY,A,48,BRONX,N.Y. POLICE DEPT,1015640,250811,"(40.8550455910001, -73.8865309779999)"
403,596a811d,01/09/2006 11:20:00 AM,Monday,Jan,9,2006,11,1,9,2006,GRAND LARCENY,FELONY,F,68,BROOKLYN,N.Y. POLICE DEPT,977672,170323,"(40.6341796180001, -74.02370129)"
404,efc3c402,01/09/2006 11:25:00 AM,Monday,Jan,9,2006,11,1,9,2006,FELONY ASSAULT,FELONY,I,47,BRONX,N.Y. POLICE DEPT,1023568,265782,"(40.896104576, -73.8577845469999)"
405,d2258da0,01/09/2006 11:25:00 AM,Monday,Jan,9,2006,11,1,9,2006,FELONY ASSAULT,FELONY,I,47,BRONX,N.Y. POLICE DEPT,1023568,265782,"(40.896104576, -73.8577845469999)"
406,aad80467,01/09/2006 11:30:00 AM,Monday,Jan,9,2006,11,1,9,2006,BURGLARY,FELONY,A,49,BRONX,N.Y. POLICE DEPT,1021187,247215,"(40.8451541810001, -73.866499185)"
407,c7dfd51d,01/09/2006 11:30:00 AM,Monday,Jan,9,2006,11,1,10,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,94,BROOKLYN,N.Y. POLICE DEPT,997313,204100,"(40.726882624, -73.952871348)"
408,b02bf9f7,01/09/2006 11:36:00 AM,Monday,Jan,9,2006,11,1,17,2006,GRAND LARCENY,FELONY,E,24,MANHATTAN,N.Y. POLICE DEPT,995644,230619,"(40.7996727560001, -73.958848001)"
409,d3d92b99,01/09/2006 11:40:00 AM,Monday,Jan,9,2006,11,1,9,2006,FELONY ASSAULT,FELONY,B,60,BROOKLYN,N.Y. POLICE DEPT,993370,149271,"(40.5763939190001, -73.9671714569999)"
